sample_idx,aqi,category,alert_level,threshold,action
333,143.06041314239513,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
334,110.96371505831453,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
335,140.48587439256383,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
336,153.23225613317817,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
337,129.86950737215534,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
338,111.11364400574075,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
339,131.4360072364549,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
340,167.29452842696938,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
341,166.88451069975937,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
342,164.3722495207291,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
343,132.5122897596551,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
344,176.7608296289918,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
345,188.65215608009623,Unhealthy,ORANGE,150,Everyone should reduce prolonged outdoor exertion
346,135.02527486531602,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
348,144.14835512836436,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
349,129.45095505153654,Unhealthy for Sensitive,YELLOW,100,Sensitive groups should reduce outdoor activity
